internal_g6p_c,internal_pep_c,internal_pyr_c,internal_EIIglc,internal_LacY,internal_lcts_p,external_glc__D_e,external_lcts_e,fluxes_EX_glc__D_e,fluxes_EX_lcts_e,global_volume,global_width,global_length,global_surface_area,time
58.79796542656431,-58.61796542656431,58.79796542656431,0.0018,0.0,0.0,2.8427382026188237,10.0,0.07996605277549189,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,639.0
58.877860467468636,-58.69786046746864,58.877860467468636,0.0018,0.0,0.0,2.8330129234641066,10.0,0.07989504090432231,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,640.0
58.95768419930662,-58.77768419930662,58.95768419930662,0.0018,0.0,0.0,2.823296279112539,10.0,0.07982373183798337,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,641.0
59.037436323098326,-58.85743632309833,59.037436323098326,0.0018,0.0,0.0,2.813588435618027,10.0,0.07975212379170653,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,642.0
59.11711653929803,-58.93711653929803,59.11711653929803,0.0018,0.0,0.0,2.803889226926665,10.0,0.07968021619970703,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,643.0
59.19672454532631,-59.01672454532631,59.19672454532631,0.0018,0.0,0.0,2.7941988190923586,10.0,0.07960800602827804,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,644.0
59.276260038022016,-59.09626003802202,59.276260038022016,0.0018,0.0,0.0,2.7845172121151083,10.0,0.0795354926957055,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,645.0
59.355722712401125,-59.175722712401125,59.355722712401125,0.0018,0.0,0.0,2.7748445720488206,10.0,0.07946267437910781,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,646.0
59.435112262900844,-59.255112262900845,59.435112262900844,0.0018,0.0,0.0,2.765180732839589,10.0,0.07938955049972234,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,647.0
59.514428380860856,-59.33442838086086,59.514428380860856,0.0018,0.0,0.0,2.75552586054132,10.0,0.07931611796001367,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,648.0
59.593670757025876,-59.413670757025876,59.593670757025876,0.0018,0.0,0.0,2.7458799551540136,10.0,0.0792423761650165,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,649.0
59.67283908027889,-59.49283908027889,59.67283908027889,0.0018,0.0,0.0,2.7362430166776703,10.0,0.07916832325301798,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,650.0
59.75193303762644,-59.571933037626444,59.75193303762644,0.0018,0.0,0.0,2.7266152111661963,10.0,0.07909395734755086,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,651.0
59.83095231547504,-59.65095231547504,59.83095231547504,0.0018,0.0,0.0,2.716996538619592,10.0,0.07901927784859689,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,652.0
59.90989659834486,-59.72989659834486,59.90989659834486,0.0018,0.0,0.0,2.707386999037857,10.0,0.07894428286981706,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,653.0
59.98876556885481,-59.80876556885481,59.98876556885481,0.0018,0.0,0.0,2.697786592420991,10.0,0.07886897050994994,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,654.0
60.06755890770747,-59.88755890770747,60.06755890770747,0.0018,0.0,0.0,2.688195318768995,10.0,0.07879333885266458,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,655.0
60.146276293673886,-59.966276293673886,60.146276293673886,0.0018,0.0,0.0,2.6786133441357753,10.0,0.0787173859664116,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,656.0
60.22491740490343,-60.04491740490343,60.22491740490343,0.0018,0.0,0.0,2.6690406685213315,10.0,0.0786411112295433,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,657.0
60.303481917603825,-60.123481917603826,60.303481917603825,0.0018,0.0,0.0,2.659477291925664,10.0,0.07856451270039333,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,658.0
60.38196950602573,-60.20196950602573,60.38196950602573,0.0018,0.0,0.0,2.6499232143487723,10.0,0.07848758842190574,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,659.0
60.46037984244722,-60.28037984244722,60.46037984244722,0.0018,0.0,0.0,2.6403786018445636,10.0,0.07841033642148287,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,660.0
60.5387125985113,-60.3587125985113,60.5387125985113,0.0018,0.0,0.0,2.630843454413038,10.0,0.07833275606408716,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,661.0
60.61696744387823,-60.43696744387823,60.61696744387823,0.0018,0.0,0.0,2.621317772054195,10.0,0.07825484536692609,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,662.0
60.69514404620973,-60.51514404620973,60.69514404620973,0.0018,0.0,0.0,2.6118015547680353,10.0,0.07817660233149411,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,663.0
60.77324207115314,-60.59324207115314,60.77324207115314,0.0018,0.0,0.0,2.602294968608465,10.0,0.0780980249434174,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,664.0
60.85126118370746,-60.67126118370746,60.85126118370746,0.0018,0.0,0.0,2.5927980135754845,10.0,0.07801911255431716,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,665.0
60.92920104684702,-60.74920104684702,60.92920104684702,0.0018,0.0,0.0,2.5833106896690934,10.0,0.07793986313955889,0.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,666.0
