global_mass,global_volume,global_width,global_length,global_surface_area,global_dead,global_division,cell_counts_AcrAB-TolC_RNA,cell_counts_AcrAB-TolC,cell_counts_porin,cell_counts_antibiotic,cell_AcrAB-TolC_RNA,cell_AcrAB-TolC,cell_porin,cell_antibiotic,environment_antibiotic,time
1339.0,1.2172727272727273,1.0,1.8832131064245905,5.130890296890058,0.0,0.0,0.0,0.0,733058.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1339.3867742141856,1.2176243401947142,1.0,1.8836607939013041,5.132296748578006,0.0,0.0,733.0,0.0,733270.0,45.0,0.001,0.0,1.0,6.25e-05,1.0,1.0
1339.7736601492768,1.2179760546811607,1.0,1.884108610693904,5.133703606523792,0.0,0.0,733.0,733.0,733482.0,91.0,0.001,0.001,1.0,0.000125,1.0,2.0
1340.1606578375447,1.2183278707614043,1.0,1.884556556839744,5.135110870844767,0.0,0.0,733.0,1466.0,733694.0,137.0,0.001,0.001999,1.0,0.00018749995834201207,1.0,3.0
1340.5477673112696,1.2186797884647906,1.0,1.8850046323761878,5.136518541658312,0.0,0.0,733.0,2199.0,733906.0,183.0,0.001,0.002997001,1.0,0.0002499998334435706,1.0,4.0
1340.9349886027408,1.2190318078206734,1.0,1.88545283734061,5.137926619081844,0.0,0.0,734.0,2932.0,734118.0,229.0,0.001,0.003994003999,1.0,0.0003124995837976727,1.0,5.0
1341.3223217442574,1.2193839288584158,1.0,1.8859011717703968,5.139335103232813,0.0,0.0,734.0,3664.0,734330.0,275.0,0.001,0.004990009995001,1.0,0.0003749991679727188,1.0,6.0
1341.7097667681276,1.2197361516073888,1.0,1.8863496357029446,5.140743994228705,0.0,0.0,734.0,4396.0,734542.0,321.0,0.001,0.005985019985005999,1.0,0.00043749854461245266,1.0,7.0
1342.097323706669,1.2200884760969717,1.0,1.88679822917566,5.142153292187036,0.0,0.0,734.0,5127.0,734754.0,367.0,0.001,0.006979034965020993,1.0,0.0004999976724359016,1.0,8.0
1342.4849925922083,1.220440902356553,1.0,1.8872469522259623,5.143562997225362,0.0,0.0,734.0,5859.0,734966.0,413.0,0.001,0.007972055930055972,1.0,0.0005624965102373165,1.0,9.0
1342.8727734570818,1.220793430415529,1.0,1.887695804891279,5.144973109461265,0.0,0.0,735.0,6590.0,735178.0,459.0,0.001,0.008964083874125915,1.0,0.0006249950168861112,1.0,10.0
1343.2606663336353,1.2211460603033049,1.0,1.8881447872090509,5.1463836290123695,0.0,0.0,735.0,7320.0,735391.0,505.0,0.001,0.00995511979025179,1.0,0.0006874931513268025,1.0,11.0
1343.6486712542235,1.2214987920492941,1.0,1.888593899216728,5.1477945559963265,0.0,0.0,735.0,8051.0,735603.0,551.0,0.001,0.010945164670461537,1.0,0.0007499908725789496,1.0,12.0
1344.0367882512107,1.2218516256829188,1.0,1.8890431409517714,5.1492058905308244,0.0,0.0,735.0,8781.0,735816.0,597.0,0.001,0.011934219505791075,1.0,0.0008124881397370931,1.0,13.0
1344.4250173569706,1.2222045612336097,1.0,1.8894925124516537,5.150617632733588,0.0,0.0,736.0,9511.0,736028.0,644.0,0.001,0.012922285286285284,1.0,0.0008749849119706945,1.0,14.0
1344.813358603886,1.2225575987308055,1.0,1.889942013753858,5.152029782722372,0.0,0.0,736.0,10240.0,736241.0,690.0,0.001,0.013909363000998999,1.0,0.000937481148524075,1.0,15.0
1345.2018120243492,1.222910738203954,1.0,1.8903916448958773,5.153442340614965,0.0,0.0,736.0,10969.0,736454.0,736.0,0.001,0.014895453637998,1.0,0.0009999768087163544,1.0,16.0
1345.590377650762,1.223263979682511,1.0,1.8908414059152172,5.154855306529194,0.0,0.0,736.0,11698.0,736666.0,782.0,0.001,0.015880558184360002,1.0,0.00106247185194139,1.0,17.0
1345.9790555155355,1.2236173231959413,1.0,1.891291296849392,5.156268680582914,0.0,0.0,736.0,12427.0,736879.0,828.0,0.001,0.01686467762617564,1.0,0.001124966237667715,1.0,18.0
1346.3678456510897,1.223970768773718,1.0,1.8917413177359292,5.157682462894021,0.0,0.0,737.0,13155.0,737092.0,875.0,0.001,0.017847812948549466,1.0,0.0011874599254384768,1.0,19.0
1346.7567480898547,1.2243243164453224,1.0,1.8921914686123649,5.1590966535804395,0.0,0.0,737.0,13883.0,737305.0,921.0,0.001,0.018829965135600917,1.0,0.0012499528748713756,1.0,20.0
1347.1457628642695,1.224677966240245,1.0,1.892641749516248,5.16051125276013,0.0,0.0,737.0,14611.0,737518.0,967.0,0.001,0.019811135170465316,1.0,0.0013124450456586023,1.0,21.0
1347.5348900067827,1.2250317181879842,1.0,1.8930921604851365,5.161926260551086,0.0,0.0,737.0,15338.0,737731.0,1014.0,0.001,0.02079132403529485,1.0,0.0013749363975667766,1.0,22.0
1347.924129549852,1.2253855723180473,1.0,1.8935427015566009,5.1633416770713385,0.0,0.0,737.0,16065.0,737944.0,1060.0,0.001,0.021770532711259557,1.0,0.001437426890436885,1.0,23.0
1348.313481525945,1.22573952865995,1.0,1.893993372768221,5.164757502438949,0.0,0.0,738.0,16792.0,738157.0,1107.0,0.001,0.022748762178548296,1.0,0.001499916484184218,1.0,24.0
1348.702945967538,1.2260935872432164,1.0,1.8944441741575888,5.1661737367720155,0.0,0.0,738.0,17518.0,738370.0,1153.0,0.001,0.02372601341636975,1.0,0.001562405138798308,1.0,25.0
1349.092522907117,1.226447748097379,1.0,1.8948951057623058,5.167590380188665,0.0,0.0,738.0,18244.0,738584.0,1200.0,0.001,0.02470228740295338,1.0,0.0016248928143428672,1.0,26.0
1349.4822123771776,1.2268020112519795,1.0,1.8953461676199859,5.169007432807068,0.0,0.0,738.0,18970.0,738797.0,1246.0,0.001,0.025677585115550426,1.0,0.001687379470955724,1.0,27.0
1349.8720144102242,1.2271563767365674,1.0,1.8957973597682525,5.17042489474542,0.0,0.0,739.0,19696.0,739010.0,1293.0,0.001,0.026651907530434876,1.0,0.0017498650688487609,1.0,28.0
1350.2619290387713,1.2275108445807013,1.0,1.8962486822447406,5.171842766121955,0.0,0.0,739.0,20421.0,739224.0,1339.0,0.001,0.02762525562290444,1.0,0.0018123495683078509,1.0,29.0
1350.6519562953424,1.2278654148139476,1.0,1.8967001350870958,5.17326104705494,0.0,0.0,739.0,21146.0,739437.0,1386.0,0.001,0.028597630367281537,1.0,0.0018748329296927946,1.0,30.0
1351.0420962124704,1.2282200874658822,1.0,1.897151718332975,5.174679737662679,0.0,0.0,739.0,21870.0,739651.0,1432.0,0.001,0.029569032736914257,1.0,0.0019373151134372576,1.0,31.0
